id,name,address,latitude,longitude
0,Western Governors University,4001 South 700 East,40.6829464,-85.0885681
1,International Peace Gardens,1060 Dalton Ave S,42.4703959,-73.1933506
2,Sugar House Park,1330 2100 S,40.7255371,-111.8529742
3,Taylorsville-Bennion Heritage City Gov Off,1488 4800 S,40.6642147,-111.9333296
4,Salt Lake City Division of Health Services,177 W Price Ave,36.1876713,-94.1319919
5,South Salt Lake Public Works,195 W Oakland Ave,39.9002734,-75.0785544
6,Salt Lake City Streets and Sanitation,2010 W 500 S,40.6774471,-86.9087963
7,Deker Lake,2300 Parkway Blvd,40.712313,-111.954034
8,Salt Lake City Ottinger Hall,233 Canyon Rd,55.0727781,-114.0374814
9,Columbus Library,2530 S 500 E,40.4129751,-85.276634
10,Taylorsville City Hall,2600 Taylorsville Blvd,40.6546192,-111.9554568
11,South Salt Lake Police,2835 Main St,42.9877091,-82.7650901
12,Council Hall,300 State St,40.7755449,-111.8877297
13,Redwood Park,3060 Lester St,40.7055425,-111.9363415
14,Salt Lake County Mental Health,3148 S 1100 W,40.2573791,-86.222229
15,Salt Lake County United Police Dept,3365 S 900 W,41.2534815,-86.8717834
16,West Valley Prosecutor,3575 W Valley Central Station bus Loop,32.91537,-102.41602
17,Housing Auth. of Salt Lake County,3595 Main St,39.5176277,-80.2510501
18,Utah DMV Administrative Office,380 W 2880 S,40.7078986,-112.1093939
19,Third District Juvenile Court,410 S State St,43.106776,-88.49773
20,Cottonwood Regional Softball Complex,4300 S 1300 E,37.6986983,-113.6266981
21,Holiday City Office,4580 S 2300 E,40.7185723,-111.8245229
22,Murray City Museum,5025 State St,40.6623745,-111.8875305
23,Valley Regional Softball Complex,5100 South 2700 West,41.1707787,-112.0450704
24,City Center of Rock Springs,5383 South 900 East #104,41.5679889,-84.8172161
25,Rice Terrace Pavilion Park,600 E 900 South,40.309215,-84.9657489
26,Wheeler Historic Farm,6351 South 900 East,40.6351415,-111.8640934
27,3365 S 900 W,"3365 S 900 W, Salt Lake City, UT",40.698004,-111.916856
28,2300 Parkway Blvd,"2300 Parkway Blvd, West Valley City, UT",40.712313,-111.954034
29,410 S State St,"410 S State St, Salt Lake City, UT",40.7193013,-111.8886285
30,5383 South 900 East #104,"5383 South 900 East #104, Murray, UT",40.6540863,-111.8658163
31,1060 Dalton Ave S,"1060 Dalton Ave S, Salt Lake City, UT",40.745922,-111.922281
32,2835 Main St,"2835 Main St, Salt Lake City, UT",40.7651449,-111.8911796
33,1330 2100 S,"1330 2100 S, Salt Lake City, UT",40.7254375,-111.8438035
34,300 State St,"300 State St, Salt Lake City, UT",40.7755449,-111.8877297
35,410 S State St,"410 S State St, Salt Lake City, UT",40.7193013,-111.8886285
36,233 Canyon Rd,"233 Canyon Rd, Salt Lake City, UT",40.7855707,-111.8832767
37,600 E 900 South,"600 E 900 South, Salt Lake City, UT",40.7085053,-111.865463
38,1488 4800 S,"1488 4800 S, Salt Lake City, UT",40.7661449,-111.9040872
39,3148 S 1100 W,"3148 S 1100 W, Salt Lake City, UT",40.702738,-111.922832
40,177 W Price Ave,"177 W Price Ave, Salt Lake City, UT",40.692466,-111.896143
